 

stn;time;rre150h0
EVO;2023090101;0.0
EVO;2023090102;0.0
EVO;2023090103;0.0
EVO;2023090104;0.0
EVO;2023090105;0.0
EVO;2023090106;0.0
EVO;2023090107;0.0
EVO;2023090108;0.0
EVO;2023090109;0.0
EVO;2023090110;0.0
EVO;2023090111;0.0
EVO;2023090112;0.0
EVO;2023090113;0.0
EVO;2023090114;0.0
EVO;2023090115;0.0
EVO;2023090116;0.0
EVO;2023090117;0.0
EVO;2023090118;0.0
EVO;2023090119;0.0
EVO;2023090120;0.0
EVO;2023090121;0.0
EVO;2023090122;0.0
EVO;2023090123;0.0
EVO;2023090200;0.0
EVO;2023090201;0.0
EVO;2023090202;0.0
EVO;2023090203;0.0
EVO;2023090204;0.0
EVO;2023090205;0.0
EVO;2023090206;0.0
EVO;2023090207;0.0
EVO;2023090208;0.0
EVO;2023090209;0.0
EVO;2023090210;0.0
EVO;2023090211;0.0
EVO;2023090212;0.0
EVO;2023090213;0.0
EVO;2023090214;0.0
EVO;2023090215;0.0
EVO;2023090216;0.0
EVO;2023090217;0.0
EVO;2023090218;0.0
EVO;2023090219;0.0
EVO;2023090220;0.0
EVO;2023090221;0.0
EVO;2023090222;0.0
EVO;2023090223;0.0
EVO;2023090300;0.0
EVO;2023090301;0.0
EVO;2023090302;0.0
EVO;2023090303;0.0
EVO;2023090304;0.0
EVO;2023090305;0.0
EVO;2023090306;0.0
EVO;2023090307;0.0
EVO;2023090308;0.0
EVO;2023090309;0.0
EVO;2023090310;0.0
EVO;2023090311;0.0
EVO;2023090312;0.0
EVO;2023090313;0.0
EVO;2023090314;0.0
EVO;2023090315;0.0
EVO;2023090316;0.0
EVO;2023090317;0.0
EVO;2023090318;0.0
EVO;2023090319;0.0
EVO;2023090320;0.0
EVO;2023090321;0.0
EVO;2023090322;0.0
EVO;2023090323;0.0
EVO;2023090400;0.0
EVO;2023090401;0.0
EVO;2023090402;0.0
EVO;2023090403;0.0
EVO;2023090404;0.0
EVO;2023090405;0.0
EVO;2023090406;0.0
EVO;2023090407;0.0
EVO;2023090408;0.0
EVO;2023090409;0.0
EVO;2023090410;0.0
EVO;2023090411;0.0
EVO;2023090412;0.0
EVO;2023090413;0.0
EVO;2023090414;0.0
EVO;2023090415;0.0
EVO;2023090416;0.0
EVO;2023090417;0.0
EVO;2023090418;0.0
EVO;2023090419;0.0
EVO;2023090420;0.0
EVO;2023090421;0.0
EVO;2023090422;0.0
EVO;2023090423;0.0
EVO;2023090500;0.0
EVO;2023090501;0.0
EVO;2023090502;0.0
EVO;2023090503;0.0
EVO;2023090504;0.0
EVO;2023090505;0.0
EVO;2023090506;0.0
EVO;2023090507;0.0
EVO;2023090508;0.0
EVO;2023090509;0.0
EVO;2023090510;0.0
EVO;2023090511;0.0
EVO;2023090512;0.0
EVO;2023090513;0.0
EVO;2023090514;0.0
EVO;2023090515;0.0
EVO;2023090516;0.0
EVO;2023090517;0.0
EVO;2023090518;0.0
EVO;2023090519;0.0
EVO;2023090520;0.0
EVO;2023090521;0.0
EVO;2023090522;0.0
EVO;2023090523;0.0
EVO;2023090600;0.0
EVO;2023090601;0.0
EVO;2023090602;0.0
EVO;2023090603;0.0
EVO;2023090604;0.0
EVO;2023090605;0.0
EVO;2023090606;0.0
EVO;2023090607;0.0
EVO;2023090608;0.0
EVO;2023090609;0.0
EVO;2023090610;0.0
EVO;2023090611;0.0
EVO;2023090612;0.0
EVO;2023090613;0.0
EVO;2023090614;0.0
EVO;2023090615;0.0
EVO;2023090616;0.0
EVO;2023090617;0.0
EVO;2023090618;0.0
EVO;2023090619;0.0
EVO;2023090620;0.0
EVO;2023090621;0.0
EVO;2023090622;0.0
EVO;2023090623;0.0
EVO;2023090700;0.0
EVO;2023090701;0.0
EVO;2023090702;0.0
EVO;2023090703;0.0
EVO;2023090704;0.0
EVO;2023090705;0.0
EVO;2023090706;0.0
EVO;2023090707;0.0
EVO;2023090708;0.0
EVO;2023090709;0.0
EVO;2023090710;0.0
EVO;2023090711;0.0
EVO;2023090712;0.0
EVO;2023090713;0.0
EVO;2023090714;0.0
EVO;2023090715;0.0
EVO;2023090716;0.0
EVO;2023090717;0.0
EVO;2023090718;0.0
EVO;2023090719;0.0
EVO;2023090720;0.0
EVO;2023090721;0.0
EVO;2023090722;0.0
EVO;2023090723;0.0
EVO;2023090800;0.0
EVO;2023090801;0.0
